IPV4_SRC_ADDR,L4_SRC_PORT,IPV4_DST_ADDR,L4_DST_PORT,PROTOCOL,FLOW_DURATION_MILLISECONDS,OUT_PKTS,OUT_BYTES,IN_PKTS,IN_BYTES,L7_PROTO,TCP_FLAGS,Attack
205.147.105.78,443,192.168.31.148,58404,6,0,1,93,1,66,TLS,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,1743,7,3702,8,868,SSH,24,Benign
192.168.31.148,51578,114.114.114.114,53,17,38,1,103,1,213,DNS.Microsoft365,0,Benign
192.168.31.148,47504,8.8.8.8,53,6,95,7,651,6,929,DNS.Microsoft365,26,Benign
192.168.31.80,56765,192.168.31.148,22,6,2355,5,598,5,486,SSH,24,Benign
8.8.8.8,53,192.168.31.148,47504,6,47,2,132,1,66,DNS,17,Benign
192.168.31.148,22,192.168.31.80,56765,6,47,1,138,1,60,SSH,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,653,2,238,2,192,SSH,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,22,192.168.31.80,56765,6,46,1,138,1,60,SSH,16,Benign
51.116.253.169,443,192.168.31.148,54692,6,0,1,60,0,0,TLS,0,Benign
192.168.31.148,59214,13.89.178.27,443,6,1995,14,6333,11,5713,TLS,26,Benign
192.168.31.148,49550,192.200.0.115,443,6,206,1,66,1,66,TLS,16,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,57640,114.114.114.114,53,17,36,1,100,1,187,DNS.Github,0,Benign
192.168.31.148,46810,140.82.112.22,443,6,1204,15,6590,12,7524,TLS,31,Benign
192.168.31.148,47508,8.8.8.8,53,6,98,7,656,6,813,DNS,26,Benign
192.168.31.80,56765,192.168.31.148,22,6,1755,6,610,6,616,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,1,1,138,1,54,SSH,16,Benign
8.8.8.8,53,192.168.31.148,47508,6,46,2,132,1,66,DNS,17,Benign
192.168.31.80,56765,192.168.31.148,22,6,642,4,452,4,432,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,639,2,192,2,198,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,2389,15,2384,21,2638,SSH,24,Benign
192.168.31.148,34306,114.114.114.114,53,17,38,1,118,1,161,DNS.Github,0,Benign
192.168.31.148,51679,114.114.114.114,53,17,41,1,116,1,193,DNS.Azure,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,1532,5,534,5,454,SSH,24,Benign
192.168.31.148,39299,114.114.114.114,53,17,38,1,100,1,148,DNS.Canonical,0,Benign
192.168.31.148,22,192.168.31.80,56765,6,48,1,146,1,60,SSH,16,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,662,3,336,3,246,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,48,1,138,1,60,SSH,16,Benign
192.168.31.148,51194,114.114.114.114,53,17,39,1,118,1,177,DNS.Github,0,Benign
192.168.31.148,58404,205.147.105.78,443,6,48,1,66,1,66,TLS,16,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,40486,114.114.114.114,53,17,38,1,103,1,229,DNS.Microsoft365,0,Benign
192.168.31.148,47512,8.8.8.8,53,6,94,5,451,5,578,DNS,26,Benign
192.200.0.115,443,192.168.31.148,49550,6,0,1,151,1,66,TLS,16,Benign
192.168.31.80,56765,192.168.31.148,22,6,371,14,5464,18,18864,SSH,24,Benign
192.168.31.148,48884,114.114.114.114,53,17,39,1,100,1,187,DNS.Github,0,Benign
192.168.31.148,46814,140.82.112.22,443,6,1254,24,5775,22,39421,TLS,26,Benign
192.168.31.148,47512,8.8.8.8,53,6,116,8,694,5,841,DNS.Canonical,24,Benign
192.168.31.148,51474,114.114.114.114,53,17,38,1,85,1,172,DNS.Github,0,Benign
192.168.31.148,41712,114.114.114.114,53,17,39,1,85,1,101,DNS.Github,0,Benign
192.168.31.148,47512,8.8.8.8,53,6,46,4,365,3,438,DNS.Github,24,Benign
192.168.31.148,59214,13.89.178.27,443,6,254,4,8092,4,363,TLS,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,3979,64,10312,86,13264,SSH,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,668,3,336,3,254,SSH,24,Benign
192.168.31.148,22,192.168.31.80,56765,6,205,3,346,3,266,SSH,24,Benign
8.8.8.8,53,192.168.31.148,47512,6,46,2,132,1,66,DNS,17,Benign
192.168.31.148,59214,13.89.178.27,443,6,373,3,3913,3,297,TLS,24,Benign
192.168.31.148,58404,205.147.105.78,443,6,0,1,66,0,0,TLS,0,Benign
192.168.31.148,46820,140.82.112.22,443,6,1445,47,101095,63,10500,TLS,26,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
140.82.112.22,443,192.168.31.148,46820,6,1120,101,188592,92,6107,TLS,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,4916,25,3442,26,5408,SSH,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
192.168.31.148,46814,140.82.112.22,443,6,1372,15,2674,16,6791,TLS,24,Benign
192.168.31.148,42196,114.114.114.114,53,17,39,1,100,1,187,DNS.Github,0,Benign
205.147.105.78,443,192.168.31.148,58404,6,0,1,93,1,66,TLS,16,Benign
192.168.31.148,39159,114.114.114.114,53,17,37,1,100,1,187,DNS.Github,0,Benign
192.168.31.80,56765,192.168.31.148,22,6,2112,39,14138,51,14818,SSH,24,Benign
192.168.31.148,47524,8.8.8.8,53,6,859,9,828,7,1042,DNS,26,Benign
192.168.31.148,46826,140.82.112.22,443,6,1252,18,16044,16,7790,TLS,31,Benign
192.168.31.148,40249,114.114.114.114,53,17,39,1,100,1,187,DNS.Github,0,Benign
192.168.31.148,46814,140.82.112.22,443,6,1090,44,111549,55,3918,TLS,24,Benign
192.168.31.148,46828,140.82.112.22,443,6,1463,25,42072,32,8846,TLS,31,Benign
140.82.112.22,443,192.168.31.148,46820,6,2944,55,93535,53,3666,TLS,24,Benign
192.168.31.148,59214,13.89.178.27,443,6,512,12,30810,12,895,TLS,24,Benign
8.8.8.8,53,192.168.31.148,47524,6,47,2,132,1,66,DNS,17,Benign
192.168.31.148,59214,13.89.178.27,443,6,1787,9,17315,8,666,TLS,24,Benign
192.168.31.80,56765,192.168.31.148,22,6,6858,63,34846,67,38322,SSH,24,Benign
192.168.31.148,50023,114.55.178.236,31854,6,33,2,134,1,68,MQTT,24,Benign
192.168.31.148,56960,20.205.243.168,443,6,716,13,4908,11,6782,TLS,26,Benign
192.168.31.148,46820,140.82.112.22,443,6,1217,9,8534,12,3587,TLS,24,Benign
fe80::667:61ff:fec8:e964,0,ff02::1,0,58,0,1,86,0,0,ICMPV6,0,Benign
140.82.112.22,443,192.168.31.148,46814,6,5303,196,274143,148,148573,TLS,24,Benign
192.168.31.148,44078,114.114.114.114,53,17,36,1,108,1,180,DNS.Azure,0,Benign
192.168.31.148,37337,114.114.114.114,53,17,38,1,113,1,190,DNS.Azure,0,Benign
192.168.31.148,47530,8.8.8.8,53,6,95,7,653,6,838,DNS.Microsoft365,26,Benign
192.168.31.148,40520,20.42.65.91,443,6,1452,12,6828,9,5654,TLS,27,Benign
192.168.31.148,22,192.168.31.80,56765,6,62,1,146,1,60,SSH,16,Benign
192.168.31.148,49550,192.200.0.115,443,6,206,1,66,1,66,TLS,16,Benign
192.168.31.148,45325,114.114.114.114,53,17,38,1,108,1,164,DNS.Azure,0,Benign
8.8.8.8,53,192.168.31.148,47530,6,48,2,132,1,66,DNS,17,Benign
192.168.31.148,59214,13.89.178.27,443,6,753,17,41139,24,1719,TLS,24,Benign
140.82.112.22,443,192.168.31.148,46814,6,3372,212,278744,207,160161,TLS,24,Benign
192.168.31.148,47534,8.8.8.8,53,6,281,10,950,8,1140,DNS.Microsoft365,26,Benign
192.168.31.148,60090,114.114.114.114,53,17,37,1,100,1,116,DNS.Github,0,Benign
192.168.31.148,54877,114.114.114.114,53,17,37,1,100,1,187,DNS.Github,0,Benign
192.168.31.148,22,192.168.31.80,56765,6,2631,32,10628,25,9662,SSH,24,Benign
192.168.31.148,39115,114.114.114.114,53,17,38,1,113,1,129,DNS.Azure,0,Benign
fe80::242:fc3a:c1b1:98f8,546,ff02::1:2,547,17,0,1,139,0,0,DHCPV6,0,Benign
192.168.31.148,22,192.168.31.80,56765,6,613,12,2396,8,1484,SSH,24,Benign
20.205.243.168,443,192.168.31.148,56960,6,90,3,261,4,240,TLS,29,Benign
